Point in Time [s],Number of Resource Containers []
1.0,2.0
60.968012,1.0
300.0,2.0
660.0,3.0
780.0,4.0
1260.0,5.0
1500.0,6.0
1560.976002,5.0
1560.976002,4.0
1560.976002,3.0
1560.976002,2.0
1560.976002,1.0
1621.03107,2.0
1621.03107,3.0
1621.03107,4.0
1621.03107,5.0
1800.0,6.0
1860.928118,5.0
1860.928118,4.0
1860.928118,3.0
1860.928118,2.0
1860.928118,1.0
1920.928118,2.0
1920.928118,3.0
1920.928118,4.0
1920.928118,5.0
1980.928118,4.0
1980.928118,3.0
1980.928118,2.0
1980.928118,1.0
2040.0,2.0
2040.0,3.0
2040.0,4.0
2280.0,3.0
2280.0,2.0
2280.0,1.0
2340.0,2.0
2340.0,3.0
2340.0,4.0
2460.0,3.0
2460.0,2.0
2460.0,1.0
2520.0,2.0
2520.0,3.0
2580.0,2.0
2580.0,1.0
2640.0,2.0
2940.0,1.0
