Point in Time[s],Power Consumption[W]
3.885,123.0
18.065,64.0
24.643,52.0
38.103,59.0
44.64,56.0
58.132,70.0
68.611,96.0
78.157,61.0
84.758,55.0
98.173,89.0
104.639,70.0
118.198,72.0
123.86,92.0
138.213,61.0
144.649,54.0
158.251,54.0
164.646,56.0
178.271,74.0
188.639,99.0
198.295,74.0
204.644,72.0
218.316,93.0
224.647,77.0
238.345,90.0
243.913,105.0
258.364,59.0
264.755,54.0
278.451,55.0
284.758,55.0
298.482,56.0
308.624,96.0
318.51,55.0
328.624,56.0
338.531,57.0
348.624,54.0
358.541,57.0
363.853,92.0
378.578,54.0
388.625,54.0
398.609,52.0
408.624,54.0
418.628,56.0
428.626,101.0
438.63,62.0
448.625,72.0
458.629,52.0
468.626,62.0
478.621,53.0
484.117,137.0
498.622,59.0
508.627,51.0
518.62,52.0
524.648,52.0
538.62,49.0
548.62,94.0
558.621,51.0
564.656,52.0
578.63,70.0
584.651,88.0
598.624,68.0
603.857,87.0
618.633,54.0
624.648,52.0
638.625,91.0
644.647,52.0
658.62,61.0
668.629,92.0
678.623,67.0
684.76,55.0
698.621,70.0
704.769,57.0
718.623,52.0
723.903,105.0
738.633,74.0
744.757,54.0
758.621,53.0
764.662,51.0
778.629,52.0
788.629,92.0
798.623,69.0
808.624,51.0
818.631,64.0
828.625,53.0
838.623,52.0
843.849,108.0
858.626,64.0
864.765,58.0
878.624,70.0
888.628,52.0
898.631,52.0
908.631,103.0
918.632,68.0
928.629,67.0
938.624,52.0
944.648,69.0
958.633,52.0
963.849,91.0
978.64,51.0
984.771,52.0
998.624,52.0
1004.649,53.0
1018.625,52.0
1028.623,93.0
1038.626,52.0
1044.758,56.0
1058.626,52.0
1064.655,69.0
1078.634,52.0
1083.896,114.0
1098.636,59.0
1104.651,55.0
1113.802,54.0
1124.651,55.0
1138.625,54.0
1148.624,95.0
1158.627,53.0
1164.651,59.0
1178.626,56.0
1188.728,57.0
1198.627,54.0
1203.904,90.0
1218.628,89.0
1224.763,65.0
1238.633,69.0
1244.762,51.0
1258.625,68.0
1268.625,117.0
1274.68,70.0
1284.782,54.0
1294.666,52.0
1308.633,52.0
1318.629,54.0
1324.079,120.0
1338.639,53.0
1348.638,52.0
1358.637,88.0
1368.634,90.0
1374.804,52.0
1388.628,116.0
1394.772,51.0
1408.635,51.0
1414.767,54.0
1428.635,52.0
1434.769,53.0
1443.846,91.0
1454.818,54.0
1464.783,52.0
1478.635,59.0
1484.775,56.0
1494.772,52.0
1508.627,92.0
1518.637,90.0
1524.651,88.0
1534.652,53.0
1544.655,52.0
1558.636,54.0
1563.889,95.0
1574.826,51.0
1588.652,49.0
1594.775,92.0
1604.658,52.0
1614.658,54.0
1628.629,95.0
1634.655,89.0
1644.658,52.0
1654.656,51.0
1664.735,52.0
1674.776,69.0
1683.924,92.0
1698.642,52.0
1704.662,50.0
1714.661,55.0
1724.768,52.0
1734.66,52.0
1743.68,92.0
1754.665,52.0
1764.659,51.0
1774.784,53.0
1784.774,52.0
1798.645,54.0
1804.135,117.0
1814.834,52.0
1825.016,52.0
1834.661,52.0
1844.661,52.0
1854.663,61.0
1868.643,93.0
1874.664,53.0
1888.638,52.0
1894.672,70.0
1904.773,69.0
1918.74,89.0
1923.865,102.0
1938.643,67.0
1944.663,69.0
1954.774,66.0
1968.643,88.0
1978.642,93.0
1988.634,99.0
1994.798,52.0
2004.662,54.0
2018.643,105.0
2028.651,56.0
2034.773,102.0
2043.859,126.0
2058.648,111.0
2068.641,106.0
2074.777,101.0
2084.786,103.0
2094.787,100.0
2108.645,130.0
2118.644,104.0
2128.642,102.0
2138.645,98.0
2148.645,100.0
2154.665,98.0
2164.074,109.0
2173.885,57.0
2184.786,52.0
2198.648,91.0
2208.665,57.0
2218.645,55.0
2228.637,92.0
2238.645,56.0
2244.662,51.0
2254.661,69.0
2264.674,68.0
2278.645,61.0
2283.891,90.0
2298.648,62.0
2304.664,62.0
2314.661,61.0
2324.664,52.0
2334.772,51.0
2348.639,93.0
2354.666,70.0
2364.664,54.0
2378.647,53.0
2384.793,64.0
2394.669,52.0
2403.839,108.0
2418.657,51.0
2429.073,54.0
2434.772,51.0
2444.666,57.0
2454.666,52.0
2468.66,124.0
2474.719,108.0
2484.83,52.0
2498.646,93.0
2508.647,53.0
