Point in Time[s],Utilization of Active Resource[]
6.615,0.0
16.528,0.0
25.599,0.0
36.572,0.0
46.571,0.0
58.804,0.0
66.532,0.0
76.573,0.0
88.802,0.0
98.815,0.0
108.826,0.0
118.86,0.0
128.876,0.0
135.588,0.0
146.571,0.0
158.802,0.0
168.815,0.0
178.832,0.0
186.535,0.0
198.804,0.0
208.815,0.0
218.827,0.0
225.588,0.0
238.875,0.0
246.656,0.0
258.807,0.0
268.819,0.0
275.587,0.0
288.806,0.0
298.821,0.0
308.834,0.0
318.845,0.0
325.562,0.0
335.584,0.0
346.576,0.0
356.61,0.0
366.628,0.0
376.579,0.0
388.807,0.0
398.819,0.0
408.831,0.0
418.853,0.0
428.864,0.0
438.877,0.0
445.6,0.0
455.619,0.0
468.814,0.0
478.867,0.0
488.883,0.0
498.895,0.0
506.58,0.0
516.603,0.0
528.813,0.0
536.586,0.0
548.815,0.0
555.584,0.0
568.815,0.0
578.827,0.0
588.838,0.0
598.866,0.0
606.647,0.0
616.666,0.0
628.814,0.0
635.603,0.0
645.644,0.0
655.673,0.0
665.596,0.0
675.615,0.0
686.534,0.01
696.556,0.0
706.534,0.0
716.603,0.0
726.624,0.0
736.645,0.0
746.589,0.0
756.61,0.0
768.815,0.0
776.543,0.0
788.818,0.0
796.582,0.0
808.817,0.0
818.827,0.0
828.838,0.0
838.877,0.0
845.651,0.0
855.673,0.0
868.822,0.0
876.554,0.0
885.588,0.0
896.547,0.0
908.82,0.0
918.831,0.0
928.843,0.0
935.602,0.0
945.615,0.0
958.864,0.0
965.658,0.0
975.679,0.0
988.82,0.0
998.832,0.0
1008.843,0.0
1018.863,0.0
1028.873,0.0
1038.884,0.0
1046.595,0.0
1056.621,0.0
1068.822,0.0
1078.884,0.0
1088.898,0.0
1098.91,0.0
1105.581,0.0
1115.603,0.0
1128.823,0.0
1135.606,0.0
1146.591,0.0
1156.618,0.0
1168.824,0.0
1178.836,0.0
1185.596,0.0
1198.89,0.0
1205.644,0.0
1215.666,0.0
1228.824,0.0
1235.616,0.0
1246.598,0.0
1256.627,0.0
1268.824,0.0
1278.833,0.0
1285.623,0.0
1295.645,0.0
1305.597,0.0
1318.88,0.0
1325.671,0.0
1335.691,0.0
1346.594,0.0
1356.615,0.0
1368.824,0.0
1376.558,0.0
1388.825,0.0
1396.547,0.0
1405.6,0.0
1415.62,0.0
1426.591,0.0
1436.624,0.0
1446.643,0.0
1456.664,0.0
1466.545,0.0
1476.573,0.0
1488.826,0.0
1496.553,0.0
1505.604,0.0
1515.627,0.0
1526.591,0.0
1536.615,0.0
1546.589,0.0
1556.621,0.0
1566.645,0.0
1576.665,0.0
1586.549,0.0
1596.571,0.0
1606.563,0.0
1616.602,0.0
1626.55,0.0
1636.572,0.0
1646.603,0.01
1656.625,0.0
1666.548,0.0
1676.581,0.0
1686.602,0.0
1696.624,0.0
1706.554,0.0
1716.596,0.0
1726.501,0.0
1736.53,0.0
1748.828,0.0
1756.609,0.0
1765.603,0.0
1776.553,0.0
1785.6,0.0
1796.567,0.0
1806.614,0.0
1816.637,0.0
1826.554,0.0
1836.575,0.0
1845.609,0.0
1856.56,0.0
1868.829,0.0
1876.557,0.0
1886.554,0.0
1896.575,0.0
1906.561,0.0
1916.59,0.0
1926.616,0.0
1936.637,0.0
