Point in Time[s],State of Active Resource[]
0.0,0
41.801,1
41.801,0
356.058,1
356.058,0
721.850999999,1
721.850999999,0
780.000000001,1
780.000000001,0
975.406,1
975.406,0
1595.955,1
1595.955,0
1628.351,1
1628.351,0
1913.333999999,1
1913.333999999,0
2225.814999999,1
2225.814999999,0
2545.817,1
2545.817,0
2863.34,1
2863.34,0
3185.728,1
3185.728,0
3506.081999999,1
3506.081999999,0
3825.598,1
3825.598,0
4468.496999999,1
4468.496999999,0
4545.522999999,1
4545.522999999,0
4795.662999999,1
4795.662999999,0
5123.341999999,1
5123.341999999,0
20520.000000001,1
20520.000000001,0
21060.000000001,1
21060.000000001,0
21540.0,0
