Point in Time[s],State of Active Resource[]
0.0,0
4469.263982699,1
4469.26990089,0
4470.263982699,1
4470.26990089,0
4471.260874989,1
4471.26679318,0
4472.25807805,1
4472.264165332,0
4473.254970341,1
4473.261226715,0
4474.254970341,1
4474.261226715,0
4475.251862632,1
4475.258119006,0
4476.248754922,1
4476.255180387,0
4477.245647213,1
4477.252072678,0
4478.242539503,1
4478.249134059,0
4479.242539503,1
4479.249134059,0
4480.239431794,1
4480.246195441,0
4481.236634855,1
4481.243398502,0
4482.233527146,1
4482.240459884,0
4483.230419436,1
4483.237352174,0
4484.230419436,1
4484.237352174,0
4485.227311727,1
4485.234413557,0
4486.229176352,1
4486.235939999,0
4487.232284062,1
4487.238709527,0
4488.235391771,1
4488.241479053,0
4489.235391771,1
4489.241479053,0
4490.238499481,1
4490.244248581,0
4491.24160719,1
4491.247018108,0
4492.2447149,1
4492.249787635,0
4493.247822609,1
4493.252557162,0
4494.247822609,1
4494.252557162,0
4495.250930319,1
4495.255326689,0
4496.254038028,1
4496.258096216,0
4497.257145738,1
4497.260865744,0
4498.260253447,1
4498.26363527,0
4499.260253447,1
4499.26363527,0
4500.263361157,1
4500.266404798,0
4501.266468866,1
4501.269174325,0
4502.269576576,1
4502.271943852,0
4503.272373514,1
4503.274402608,0
4504.272373514,1
4504.274402608,0
4505.275481224,1
4505.277172135,0
4506.278588933,1
4506.279941662,0
4507.281696643,1
4507.282542098,0
4508.284804352,1
4508.285311625,0
4509.284804352,1
4509.285311625,0
4510.287912062,1
4510.288081153,0
4511.288222832,1
4511.288391923,0
4512.287601291,1
4512.287770382,0
4513.286668978,1
4513.286838069,0
4514.286668978,1
4514.286838069,0
4515.286047436,1
4515.286216527,0
4516.285115123,1
4516.285284214,0
4517.284493581,1
4517.284662672,0
4518.283561268,1
4518.283730359,0
4519.283561268,1
4519.283730359,0
4520.282939726,1
4520.282939726,0
4521.282007413,1
4521.282007413,0
4522.281385872,1
4522.281385872,0
4523.280453559,1
4523.280453559,0
4524.280453559,1
4524.280453559,0
4525.279832017,1
4525.279832017,0
4526.279210475,1
4526.279210475,0
4527.278278162,1
4527.278278162,0
4528.27765662,1
4528.27765662,0
4529.27765662,1
4529.27765662,0
4530.276724307,1
4530.276724307,0
4531.276102765,1
4531.276102765,0
4532.275170453,1
4532.275170453,0
4533.274548911,1
4533.274548911,0
4534.274548911,1
4534.274548911,0
4535.273616598,1
4535.273616598,0
4536.273305827,1
4536.273305827,0
4537.273305827,1
4537.273305827,0
4538.273305827,1
4538.273305827,0
4539.273305827,1
4539.273305827,0
4540.273305827,1
4540.273305827,0
4541.273305827,1
4541.273305827,0
4542.273305827,1
4542.273305827,0
4543.273305827,1
4543.273305827,0
4544.273305827,1
4544.273305827,0
4545.273305827,1
4545.273305827,0
4546.273305827,1
4546.273305827,0
4547.273305827,1
4547.273305827,0
4548.273305827,1
4548.273305827,0
4549.273305827,1
4549.273305827,0
4550.273305827,1
4550.273305827,0
4551.273305827,1
4551.273305827,0
4552.273305827,1
4552.273305827,0
4553.273305827,1
4553.273305827,0
4554.273305827,1
4554.273305827,0
4555.273305827,1
4555.273305827,0
4556.273305827,1
4556.273305827,0
4557.273305827,1
4557.273305827,0
4558.273305827,1
4558.273305827,0
4559.273305827,1
4559.273305827,0
4560.273305827,1
4560.273305827,0
4561.273616598,1
4561.273616598,0
4562.274548911,1
4562.274548911,0
4563.275170453,1
4563.275170453,0
4564.275170453,1
4564.275170453,0
4565.276102765,1
4565.276102765,0
4566.276724307,1
4566.276724307,0
4567.27765662,1
4567.27765662,0
4568.278278162,1
4568.278278162,0
4569.278278162,1
4569.278278162,0
4570.279210475,1
4570.279210475,0
4571.279832017,1
4571.279832017,0
4572.28076433,1
4572.28076433,0
4573.281385872,1
4573.281385872,0
4574.281385872,1
4574.281385872,0
4575.282318184,1
4575.282318184,0
4576.282939726,1
4576.282939726,0
4577.283561268,1
4577.283561268,0
4578.284493581,1
4578.284493581,0
4579.284493581,1
4579.284493581,0
4580.285115123,1
4580.285115123,0
4581.286047436,1
4581.286047436,0
4582.286668978,1
4582.286668978,0
4583.287601291,1
4583.287601291,0
4584.287601291,1
4584.287601291,0
4585.288222832,1
4585.288222832,0
4586.288533603,1
4586.288533603,0
4587.287912062,1
4587.287912062,0
4588.286979749,1
4588.286979749,0
4589.286979749,1
4589.286979749,0
4590.286358207,1
4590.286358207,0
4591.285736665,1
4591.285736665,0
4592.284804352,1
4592.284804352,0
4593.28418281,1
4593.28418281,0
4594.28418281,1
4594.28418281,0
4595.283250497,1
4595.283250497,0
4596.282628955,1
4596.282628955,0
4597.281696643,1
4597.281696643,0
4598.281075101,1
4598.281075101,0
4599.281075101,1
4599.281075101,0
4600.280142788,1
4600.280142788,0
4601.279521246,1
4601.279521246,0
4602.278588933,1
4602.278588933,0
4603.277967391,1
4603.277967391,0
4604.277967391,1
4604.277967391,0
4605.277035078,1
4605.277035078,0
4606.276413536,1
4606.276413536,0
4607.275481224,1
4607.275481224,0
4608.274859682,1
4608.274859682,0
4609.274859682,1
4609.274859682,0
4610.273927369,1
4610.273927369,0
4611.272062743,1
4611.272062743,0
4612.259631905,1
4612.259631905,0
4613.247201067,1
4613.247370158,0
4614.247201067,1
4614.247370158,0
4615.234770229,1
4615.23493932,0
4616.222339391,1
4616.222508482,0
4617.210219324,1
4617.210557506,0
4618.197788487,1
4618.198126669,0
4619.197788487,1
4619.198126669,0
4620.185357649,1
4620.185695831,0
4621.172926811,1
4621.173434084,0
4622.160806744,1
4622.161314017,0
4623.148375906,1
4623.148883179,0
4624.148375906,1
4624.148883179,0
4625.135945068,1
4625.136621432,0
4626.12351423,1
4626.124190594,0
4627.111394163,1
4627.112070527,0
4628.098963325,1
4628.099639689,0
4629.098963325,1
4629.099639689,0
4630.086532487,1
4630.087377942,0
4631.074101649,1
4631.074947104,0
4632.061981582,1
4632.062827037,0
4633.049550744,1
4633.050565291,0
4634.049550744,1
