Point in Time[s],Optimisation Time[s]
60.0,0.2
120.0,0.068
180.0,0.079
240.0,0.079
300.0,0.162
360.0,0.114
420.0,0.051
480.0,0.07
540.0,0.073
600.0,0.053
660.0,0.068
720.0,0.039
780.0,0.047
840.0,0.093
900.0,0.038
960.0,0.031
1020.0,0.048
1080.0,0.038
1140.0,0.035
1200.0,0.05
1260.0,0.036
1320.0,0.037
1380.0,0.03
1440.0,0.032
1500.0,0.033
1560.0,0.035
1620.0,0.034
1680.0,0.033
1740.0,0.029
1800.0,0.03
1860.0,0.046
1920.0,0.037
1980.0,0.035
2040.0,0.036
2100.0,0.03
2160.0,0.062
2220.0,0.029
2280.0,0.037
2340.0,0.048
2400.0,0.036
2460.0,0.04
2520.0,0.03
2580.0,0.055
2640.0,0.036
2700.0,0.051
2760.0,0.039
2820.0,0.057
2880.0,0.041
2940.0,0.034
3000.0,0.032
3060.0,0.034
3120.0,0.035
3180.0,0.032
3240.0,0.038
3300.0,0.038
3360.0,0.044
3420.0,0.051
3480.0,0.032
3540.0,0.036
3600.0,0.038
3660.0,0.037
3720.0,0.036
3780.0,0.036
3840.0,0.047
3900.0,0.075
3960.0,0.049
4020.0,0.08
4080.0,0.039
4140.0,0.04
4200.0,0.07
4260.0,0.039
4320.0,0.035
4380.0,0.036
4440.0,0.042
4500.0,0.035
4560.0,0.05
4620.0,0.036
4680.0,0.038
4740.0,0.044
4800.0,0.05
4860.0,0.053
4920.0,0.044
4980.0,0.042
5040.0,0.045
5100.0,0.038
5160.0,0.037
5220.0,0.044
5280.0,0.105
5340.0,0.051
5400.0,0.037
5460.0,0.048
5520.0,0.059
5580.0,0.081
5640.0,0.037
5700.0,0.038
5760.0,0.035
5820.0,0.04
5880.0,0.033
5940.0,0.034
6000.0,0.034
6060.0,0.034
6120.0,0.038
6180.0,0.04
6240.0,0.032
6300.0,0.033
6360.0,0.033
6420.0,0.037
6480.0,0.044
6540.0,0.029
6600.0,0.031
6660.0,0.03
6720.0,0.03
6780.0,0.033
6840.0,0.069
6900.0,0.056
6960.0,0.032
7020.0,0.031
7080.0,0.046
7140.0,0.027
7200.0,0.03
7260.0,0.032
7320.0,0.029
7380.0,0.037
7440.0,0.027
7500.0,0.031
7560.0,0.028
7620.0,0.03
7680.0,0.03
7740.0,0.026
7800.0,0.029
7860.0,0.035
7920.0,0.033
7980.0,0.03
8040.0,0.025
8100.0,0.029
8160.0,0.027
8220.0,0.025
8280.0,0.043
8340.0,0.028
8400.0,0.027
8460.0,0.027
8520.0,0.03
8580.0,0.025
8640.0,0.028
8700.0,0.027
8760.0,0.063
8820.0,0.027
8880.0,0.026
8940.0,0.03
9000.0,0.025
9060.0,0.026
9120.0,0.032
9180.0,0.055
9240.0,0.029
9300.0,0.027
9360.0,0.024
9420.0,0.026
9480.0,0.024
9540.0,0.026
9600.0,0.024
9660.0,0.025
9720.0,0.025
9780.0,0.03
9840.0,0.026
9900.0,0.025
9960.0,0.027
10020.0,0.029
10080.0,0.025
10140.0,0.06
10200.0,0.027
10260.0,0.027
10320.0,0.085
10380.0,0.025
10440.0,0.027
10500.0,0.026
10560.0,0.028
10620.0,0.026
10680.0,0.024
10740.0,0.026
10800.0,0.048
10860.0,0.028
10920.0,0.028
10980.0,0.025
11040.0,0.029
11100.0,0.028
11160.0,0.025
11220.0,0.026
11280.0,0.023
11340.0,0.025
11400.0,0.033
11460.0,0.024
11520.0,0.024
11580.0,0.058
11640.0,0.031
11700.0,0.028
11760.0,0.025
11820.0,0.025
11880.0,0.029
11940.0,0.024
12000.0,0.025
12060.0,0.027
12120.0,0.027
12180.0,0.025
12240.0,0.026
12300.0,0.024
12360.0,0.023
12420.0,0.024
12480.0,0.027
12540.0,0.025
12600.0,0.025
12660.0,0.024
12720.0,0.025
12780.0,0.024
12840.0,0.025
12900.0,0.024
12960.0,0.027
