Point in Time[s],State of Active Resource[]
0.0,0
1913.333999999,1
1913.628824015,0
1914.333999999,1
1914.628824015,0
1915.333999999,1
1915.628824015,0
1916.333999999,1
1916.628824015,0
1917.333999999,1
1917.628824015,0
1918.333999999,1
1918.628824015,0
1919.333999999,1
1919.628824015,0
1920.333999999,1
1920.628824015,0
1921.333999999,1
1921.628824015,0
1922.333999999,1
1922.628824015,0
1923.333999999,1
1923.628824015,0
1924.333999999,1
1924.628824015,0
1925.333999999,1
1925.628824015,0
1926.333999999,1
1926.628824015,0
1927.333999999,1
1927.628824015,0
1928.333999999,1
1928.628824015,0
1929.333999999,1
1929.628824015,0
1930.333999999,1
1930.628824015,0
1931.333999999,1
1931.628824015,0
1932.333999999,1
1932.628824015,0
1933.333999999,1
1933.628824015,0
1934.333999999,1
1934.628824015,0
1935.333999999,1
1935.628824015,0
1936.333999999,1
1936.628824015,0
1937.333999999,1
1937.628824015,0
1938.333999999,1
1938.628824015,0
1939.333999999,1
1939.628824015,0
1940.333999999,1
1940.628824015,0
1941.333999999,1
1941.628824015,0
1942.333999999,1
1942.628824015,0
1943.333999999,1
1943.628824015,0
1944.333999999,1
1944.628824015,0
1945.333999999,1
1945.628824015,0
1946.333999999,1
1946.628824015,0
1947.333999999,1
1947.628824015,0
1948.333999999,1
1948.628824015,0
1949.333999999,1
1949.628824015,0
1950.333999999,1
1950.628824015,0
1951.333999999,1
1951.628824015,0
1952.333999999,1
1952.628824015,0
1953.333999999,1
1953.628824015,0
1954.333999999,1
1954.628824015,0
1955.333999999,1
1955.628824015,0
1956.333999999,1
1956.628824015,0
1957.333999999,1
1957.628824015,0
1958.333999999,1
1958.628824015,0
1959.333999999,1
1959.628824015,0
1960.333999999,1
1960.628824015,0
1961.333999999,1
1961.628824015,0
1962.333999999,1
1962.628824015,0
1963.333999999,1
1963.628824015,0
1964.333999999,1
1964.628824015,0
1965.333999999,1
1965.628824015,0
1966.333999999,1
1966.628824015,0
1967.333999999,1
1967.628824015,0
1968.333999999,1
1968.628824015,0
1969.333999999,1
1969.628824015,0
1970.333999999,1
1970.628824015,0
1971.333999999,1
1971.628824015,0
1972.333999999,1
1972.628824015,0
1973.333999999,1
1973.628824015,0
1974.333999999,1
1974.628824015,0
1975.333999999,1
1975.628824015,0
1976.333999999,1
1976.628824015,0
1977.333999999,1
1977.628824015,0
1978.333999999,1
1978.628824015,0
1979.333999999,1
1979.628824015,0
1980.333999999,1
1980.628824015,0
1981.333999999,1
1981.628824015,0
1982.333999999,1
1982.628824015,0
1983.333999999,1
1983.628824015,0
1984.333999999,1
1984.628824015,0
1985.333999999,1
1985.628824015,0
1986.333999999,1
1986.628824015,0
1987.333999999,1
1987.628824015,0
1988.333999999,1
1988.628824015,0
1989.333999999,1
1989.628824015,0
1990.333999999,1
1990.628824015,0
1991.333999999,1
1991.628824015,0
1992.333999999,1
1992.628824015,0
1993.333999999,1
1993.628824015,0
1994.333999999,1
1994.628824015,0
1995.333999999,1
1995.628824015,0
1996.333999999,1
1996.628824015,0
1997.333999999,1
1997.628824015,0
1998.333999999,1
1998.628824015,0
1999.333999999,1
1999.628824015,0
2000.333999999,1
2000.628824015,0
2001.333999999,1
2001.628824015,0
2002.333999999,1
2002.628824015,0
2003.333999999,1
2003.628824015,0
2004.333999999,1
2004.628824015,0
2005.333999999,1
2005.628824015,0
2006.333999999,1
2006.628824015,0
2007.333999999,1
2007.628824015,0
2008.333999999,1
2008.628824015,0
2009.333999999,1
2009.628824015,0
2010.333999999,1
2010.628824015,0
2011.333999999,1
2011.628824015,0
2012.333999999,1
2012.628824015,0
2013.333999999,1
2013.628824015,0
2863.34,1
2968.329482401,0
2968.34,1
2969.317556935,0
2969.34,1
2970.305631469,0
2970.34,1
2971.293706004,0
2971.34,1
2972.281780538,0
2972.34,1
2973.269855072,0
2973.34,1
2974.269855072,0
2974.34,1
2975.257598343,0
2975.34,1
2976.245672877,0
2976.34,1
2977.233747412,0
2977.34,1
2978.221821946,0
2978.34,1
2979.20989648,0
2979.34,1
2980.20989648,0
2980.34,1
2981.197971014,0
2981.34,1
2982.185714285,0
2982.34,1
2983.173788819,0
2983.34,1
2984.161863354,0
2984.34,1
2985.149937888,0
2985.34,1
2986.138012422,0
2986.34,1
2987.138012422,0
2987.34,1
2988.126086956,0
2988.34,1
2989.11416149,0
2989.34,1
2990.101904761,0
2990.34,1
2991.109855072,0
2991.34,1
2992.121780538,0
2992.34,1
2993.121780538,0
2993.34,1
2994.133706004,0
2994.34,1
2995.145962732,0
2995.34,1
2996.157888198,0
2996.34,1
2997.169813664,0
2997.34,1
2998.18173913,0
2998.34,1
2999.193664596,0
2999.34,1
3000.193664596,0
3000.34,1
3001.205590062,0
3001.34,1
3002.217515527,0
3002.34,1
3003.229440993,0
3003.34,1
3004.241697722,0
3004.34,1
3005.253623188,0
3005.34,1
3006.253623188,0
3006.34,1
3007.265548654,0
3007.34,1
3008.27747412,0
3008.34,1
3009.289399585,0
3009.34,1
3010.301325051,0
3010.34,1
3011.313250517,0
3011.34,1
3012.313250517,0
3012.34,1
3013.325175983,0
3013.34,1
3014.337432712,0
3014.34,1
3015.337763975,0
3015.34,1
3016.334782608,0
3016.34,1
3017.331801242,0
3017.34,1
3018.328819875,0
3018.34,1
3019.328819875,0
3019.34,1
3020.325838509,0
3020.34,1
3021.322857142,0
3021.34,1
3022.319875776,0
3022.34,1
3023.316894409,0
3023.34,1
3024.313913043,0
3024.34,1
3025.313913043,0
3025.34,1
3026.310600414,0
3026.34,1
3027.307619047,0
3027.34,1
3028.304637681,0
3028.34,1
3029.301656314,0
3029.34,1
3030.298674948,0
3030.34,1
3031.295693581,0
3031.34,1
3032.295693581,0
3032.34,1
3033.292712215,0
3033.34,1
3034.289730848,0
3034.34,1
3035.286749482,0
3035.34,1
3036.283768115,0
3036.34,1
3037.280786749,0
3037.34,1
3038.280786749,0
3038.34,1
3039.280786749,0
3039.34,1
3040.281780538,0
3040.34,1
3041.282774327,0
3041.34,1
3042.283768115,0
3042.34,1
3043.284761904,0
3043.34,1
3044.285755693,0
3044.34,1
3045.285755693,0
3045.34,1
3046.286749482,0
3046.34,1
3047.287743271,0
3047.34,1
3048.28873706,0
3048.34,1
3049.289730848,0
3049.34,1
3050.290724637,0
3050.34,1
3051.290724637,0
3051.34,1
3052.291718426,0
3052.34,1
3053.292712215,0
3053.34,1
3054.293706004,0
3054.34,1
3055.294699792,0
3055.34,1
3056.295693581,0
3056.34,1
3057.295693581,0
3057.34,1
3058.29668737,0
3058.34,1
3059.297681159,0
3059.34,1
3060.298674948,0
3060.34,1
3061.299668737,0
3061.34,1
3062.298012422,0
3062.34,1
3063.295031055,0
3063.34,1
3064.295031055,0
3064.34,1
3065.292049689,0
3065.34,1
3066.289068322,0
3066.34,1
3067.286086956,0
3067.34,1
3068.28310559,0
3068.34,1
3069.280124223,0
3069.34,1
3070.280124223,0
3070.34,1
3071.277142857,0
3071.34,1
3072.27416149,0
3072.34,1
3073.271180124,0
3073.34,1
3074.268198757,0
3074.34,1
3075.265217391,0
3075.34,1
3076.262236024,0
3076.34,1
3077.262236024,0
3077.34,1
3078.259254658,0
3078.34,1
3079.256273291,0
3079.34,1
3080.253291925,0
3080.34,1
3081.250310559,0
3081.34,1
3082.247329192,0
3082.34,1
3083.247329192,0
3083.34,1
3084.244347826,0
3084.34,1
3085.241366459,0
3085.34,1
3086.242360248,0
3086.34,1
3087.246335403,0
3087.34,1
3088.250310559,0
3088.34,1
3089.254285714,0
3089.34,1
3090.254285714,0
3090.34,1
3091.258260869,0
3091.34,1
3092.262236024,0
3092.34,1
3093.26621118,0
3093.34,1
3094.270186335,0
3094.34,1
3095.27416149,0
3095.34,1
3096.27416149,0
3096.34,1
3097.278136645,0
3097.34,1
3098.282111801,0
3098.34,1
3099.286418219,0
3099.34,1
3100.290393374,0
3100.34,1
3101.29436853,0
3101.34,1
3102.29436853,0
3102.34,1
3103.298343685,0
3103.34,1
3104.30231884,0
3104.34,1
3105.306293995,0
3105.34,1
3106.310269151,0
3106.34,1
3107.314244306,0
3107.34,1
3108.318219461,0
3108.34,1
3109.318219461,0
3109.34,1
3110.320538302,0
3110.34,1
3111.321532091,0
3111.34,1
3112.322525879,0
3112.34,1
3113.323519668,0
3113.34,1
3114.324513457,0
3114.34,1
3115.324513457,0
3115.34,1
3116.325507246,0
3116.34,1
3117.326501035,0
3117.34,1
3118.327494824,0
3118.34,1
3119.328488612,0
3119.34,1
3120.329482401,0
3120.34,1
3121.33047619,0
3121.34,1
3122.33047619,0
3122.34,1
3123.331469979,0
3123.34,1
3124.332463768,0
3124.34,1
3125.333457556,0
3125.34,1
3126.334451345,0
3126.34,1
3127.335445134,0
3127.34,1
3128.335445134,0
3128.34,1
3129.336438923,0
3129.34,1
3130.337432712,0
3130.34,1
3131.338426501,0
3131.34,1
3132.339420289,0
3132.34,1
3189.338757763,0
3189.34,1
3190.335776397,0
3190.34,1
3191.332795031,0
3191.34,1
3192.329482401,0
3192.34,1
3193.329482401,0
3193.34,1
3194.326501035,0
3194.34,1
3195.323519668,0
3195.34,1
3196.320538302,0
3196.34,1
3197.317225672,0
3197.34,1
3198.314244306,0
3198.34,1
3199.314244306,0
3199.34,1
3200.311262939,0
3200.34,1
3201.308281573,0
3201.34,1
3202.305300207,0
3202.34,1
3203.301987577,0
3203.34,1
3204.300993788,0
3204.34,1
3205.300993788,0
3205.34,1
3206.303975155,0
3206.34,1
3207.306956521,0
3207.34,1
3208.309937888,0
3208.34,1
3209.312919254,0
3209.34,1
3210.315900621,0
3210.34,1
3211.318881987,0
3211.34,1
3212.318881987,0
3212.34,1
3213.321863354,0
3213.34,1
3214.32484472,0
3214.34,1
3215.327826086,0
3215.34,1
3216.330807453,0
3216.34,1
3217.333788819,0
3217.34,1
3218.333788819,0
3218.34,1
3219.336770186,0
3219.34,1
3220.339751552,0
3220.34,1
3284.338757763,0
3284.34,1
3285.335776397,0
3285.34,1
3286.332795031,0
3286.34,1
3287.329813664,0
3287.34,1
3288.326832298,0
3288.34,1
3289.326832298,0
3289.34,1
3290.323519668,0
3290.34,1
3291.320538302,0
3291.34,1
3292.317556935,0
3292.34,1
3293.314575569,0
3293.34,1
3294.311594202,0
3294.34,1
3295.311594202,0
3295.34,1
3296.308612836,0
3296.34,1
3297.305631469,0
3297.34,1
3298.302650103,0
3298.34,1
3299.3,0
3299.34,1
3300.3,0
3300.34,1
3301.3,0
3301.34,1
3302.3,0
3302.34,1
3303.3,0
3303.34,1
3304.3,0
3304.34,1
3305.3,0
3305.34,1
3306.3,0
3306.34,1
3307.3,0
3307.34,1
3308.3,0
3308.34,1
3309.3,0
3309.34,1
3310.3,0
3310.34,1
3311.3,0
3311.34,1
3312.3,0
3312.34,1
3313.3,0
3313.34,1
3314.3,0
3314.34,1
3315.3,0
3315.34,1
3316.3,0
3316.34,1
3317.3,0
3317.34,1
3318.3,0
3318.34,1
3319.3,0
3319.34,1
3320.3,0
3320.34,1
3321.3,0
3321.34,1
3322.3,0
3322.34,1
3323.3,0
3323.34,1
3324.300662525,0
3324.34,1
3325.301656314,0
3325.34,1
3326.30231884,0
3326.34,1
3327.303312629,0
3327.34,1
3328.303312629,0
3328.34,1
3329.303975155,0
3329.34,1
3330.304637681,0
3330.34,1
3331.305631469,0
3331.34,1
3332.306293995,0
3332.34,1
3333.307287784,0
3333.34,1
3334.307287784,0
3334.34,1
3335.30795031,0
3335.34,1
3336.308944099,0
3336.34,1
3337.309606625,0
3337.34,1
3338.310269151,0
3338.34,1
3339.311262939,0
3339.34,1
3340.311262939,0
3340.34,1
3341.311925465,0
3341.34,1
3342.312919254,0
3342.34,1
3343.31358178,0
3343.34,1
3344.314244306,0
3344.34,1
3345.315238095,0
3345.34,1
3346.315900621,0
3346.34,1
3347.315900621,0
3347.34,1
3348.316894409,0
3348.34,1
3349.317556935,0
3349.34,1
3350.318550724,0
3350.34,1
3351.31921325,0
3351.34,1
3352.319875776,0
3352.34,1
3353.319875776,0
3353.34,1
3354.321863354,0
3354.34,1
3355.323850931,0
3355.34,1
3356.325838509,0
3356.34,1
3357.328157349,0
3357.34,1
3358.330144927,0
3358.34,1
3359.332132505,0
3359.34,1
3360.332132505,0
3360.34,1
3361.334120082,0
3361.34,1
3362.33610766,0
3362.34,1
3363.338095238,0
3363.34,1
3432.339089026,0
3432.34,1
3433.33610766,0
3433.34,1
3434.333126293,0
3434.34,1
3435.330144927,0
3435.34,1
3436.327163561,0
3436.34,1
3437.327163561,0
3437.34,1
3438.323850931,0
3438.34,1
3439.320869565,0
3439.34,1
3440.317888198,0
3440.34,1
3441.314906832,0
3441.34,1
3442.311925465,0
3442.34,1
3443.311925465,0
3443.34,1
3444.308944099,0
3444.34,1
3445.305962732,0
3445.34,1
3446.302981366,0
3446.34,1
3447.3,0
3447.34,1
3448.302981366,0
3448.34,1
3449.305962732,0
3449.34,1
3450.305962732,0
3450.34,1
3451.308944099,0
3451.34,1
3452.311925465,0
3452.34,1
3453.314906832,0
3453.34,1
3454.317888198,0
3454.34,1
3455.320869565,0
3455.34,1
3456.320869565,0
3456.34,1
3457.323850931,0
3457.34,1
3458.326832298,0
3458.34,1
3459.329813664,0
3459.34,1
3460.332795031,0
3460.34,1
3461.335776397,0
3461.34,1
3462.338757763,0
3462.34,1
3463.338757763,0
3463.34,1
3684.340082816,0
3685.34,1
3685.340000001,0
3686.34,1
3686.340000001,0
3687.34,1
3687.340000001,0
3688.34,1
3688.340000001,0
3689.34,1
3689.340000001,0
3690.34,1
3690.340000001,0
3691.34,1
3691.340000001,0
3692.34,1
3692.340000001,0
3693.34,1
3693.340000001,0
3694.34,1
3694.340000001,0
3695.34,1
3695.340000001,0
3696.34,1
3696.340000001,0
3697.34,1
3697.340000001,0
3698.34,1
3698.340000001,0
3699.34,1
3699.340000001,0
3700.34,1
3700.340000001,0
3701.34,1
3701.340000001,0
3702.34,1
3702.340000001,0
3703.34,1
3703.340000001,0
3704.34,1
3704.340000001,0
3705.34,1
3705.340000001,0
3706.34,1
3706.340000001,0
3707.34,1
3707.340000001,0
3708.34,1
3708.340000001,0
3709.34,1
3709.340000001,0
3710.34,1
3710.340000001,0
3711.34,1
3711.340000001,0
3712.34,1
3712.340000001,0
3713.34,1
3713.340000001,0
3714.34,1
3714.340000001,0
3715.34,1
3715.340000001,0
3716.34,1
3716.340000001,0
3717.34,1
3717.340000001,0
3718.34,1
3718.340000001,0
3719.34,1
3719.340000001,0
3720.34,1
3720.340000001,0
3721.34,1
3721.340000001,0
3722.34,1
3722.340000001,0
3723.34,1
3723.340000001,0
3724.34,1
3724.340000001,0
3725.34,1
3725.340000001,0
3726.34,1
3726.340000001,0
3727.34,1
3727.340000001,0
3728.34,1
3728.340000001,0
3729.34,1
3729.340000001,0
3730.34,1
3730.340000001,0
3731.34,1
3731.340000001,0
3732.34,1
3732.340000001,0
3733.34,1
3733.340000001,0
3734.34,1
3734.340000001,0
3735.34,1
3735.340000001,0
3736.34,1
3736.340000001,0
3737.34,1
3737.340000001,0
3738.34,1
3738.340000001,0
3739.34,1
3739.340000001,0
3740.34,1
3740.340000001,0
3741.34,1
3741.340000001,0
3742.34,1
3742.340000001,0
3743.34,1
3743.340000001,0
3744.34,1
3744.340000001,0
3745.34,1
3745.340000001,0
3746.34,1
3746.340000001,0
3747.34,1
3747.340000001,0
3748.34,1
3748.340000001,0
3749.34,1
3749.340000001,0
3750.34,1
3750.340000001,0
3751.34,1
3751.340000001,0
